,YEAR,MONTH,DAY,TYPE,PERIOD,SEASON,NEIGHBOURHOOD,Counts
376,2014,11,1,Theft of Vehicle,PM,Autumn,Fairview,2
377,2020,7,1,Break and Enter Residential/Other,AM,Summer,Arbutus Ridge,5
378,2012,8,1,Theft of Vehicle,PM,Summer,Strathcona,7
379,2015,4,1,Mischief,AM,Spring,Kitsilano,8
380,2017,10,1,Other Theft,PM,Autumn,Grandview-Woodland,34
381,2012,3,1,Break and Enter Residential/Other,PM,Spring,Kitsilano,1
382,2019,12,1,Other Theft,PM,Winter,Oakridge,5
383,2013,5,1,Other Theft,PM,Spring,Arbutus Ridge,8
384,2022,8,1,Mischief,AM,Summer,Dunbar-Southlands,1
385,2012,1,1,Break and Enter Commercial,AM,Winter,Stanley Park,1
386,2012,3,1,Theft of Vehicle,PM,Winter,Strathcona,3
387,2019,10,1,Mischief,PM,Autumn,Victoria-Fraserview,5
388,2016,6,1,Offence Against a Person,AM,Spring,Dunbar-Southlands,1
389,2016,7,1,Theft of Bicycle,PM,Summer,Strathcona,8
390,2014,4,1,Mischief,PM,Spring,Fairview,9
391,2020,8,1,Theft of Bicycle,AM,Summer,Hastings-Sunrise,3
392,2013,1,1,Theft from Vehicle,PM,Winter,Mount Pleasant,35
393,2020,8,1,Theft of Bicycle,PM,Summer,Kitsilano,22
394,2022,3,1,Theft of Vehicle,AM,Winter,Strathcona,1
395,2020,9,1,Mischief,PM,Summer,Hastings-Sunrise,8
396,2020,3,1,Theft from Vehicle,AM,Winter,Grandview-Woodland,4
397,2017,8,1,Theft from Vehicle,AM,Summer,Stanley Park,4
398,2015,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Riley Park,1
399,2016,5,1,Other Theft,PM,Spring,Kensington-Cedar Cottage,21
400,2014,8,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Riley Park,2
401,2022,1,1,Mischief,AM,Winter,Strathcona,17
402,2015,9,1,Break and Enter Commercial,PM,Autumn,Fairview,2
403,2016,6,1,Break and Enter Residential/Other,AM,Spring,Hastings-Sunrise,8
404,2016,11,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Fairview,6
405,2017,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Renfrew-Collingwood,1
406,2017,3,1,Break and Enter Commercial,AM,Winter,Central Business District,15
407,2012,11,1,Theft from Vehicle,PM,Autumn,Oakridge,17
408,2018,9,1,Mischief,PM,Autumn,West Point Grey,1
409,2016,9,1,Break and Enter Residential/Other,AM,Autumn,Kensington-Cedar Cottage,2
410,2012,10,1,Mischief,AM,Autumn,Hastings-Sunrise,5
411,2013,3,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Renfrew-Collingwood,3
412,2013,3,1,Mischief,PM,Spring,Marpole,1
413,2012,1,1,Mischief,AM,Winter,Hastings-Sunrise,3
414,2012,3,1,Break and Enter Residential/Other,AM,Spring,Fairview,1
415,2021,6,1,Theft of Bicycle,PM,Spring,Stanley Park,1
416,2022,2,1,Mischief,PM,Winter,Killarney,13
417,2019,11,1,Offence Against a Person,AM,Autumn,Mount Pleasant,15
418,2020,9,1,Offence Against a Person,AM,Summer,Killarney,3
419,2014,2,1,Theft of Vehicle,AM,Winter,West End,1
420,2018,7,1,Break and Enter Commercial,PM,Summer,Shaughnessy,1
421,2019,9,1,Theft from Vehicle,PM,Autumn,Kensington-Cedar Cottage,12
422,2020,7,1,Break and Enter Residential/Other,PM,Summer,Hastings-Sunrise,1
423,2021,6,1,Mischief,PM,Summer,Fairview,2
424,2014,6,1,Break and Enter Residential/Other,PM,Spring,South Cambie,2
425,2020,8,1,Theft of Bicycle,PM,Summer,Sunset,3
426,2021,10,1,Break and Enter Residential/Other,AM,Autumn,Oakridge,1
427,2016,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,South Cambie,1
428,2012,3,1,Theft of Vehicle,PM,Spring,Central Business District,1
429,2021,6,1,Mischief,PM,Summer,Riley Park,3
430,2018,7,1,Other Theft,AM,Summer,Dunbar-Southlands,2
431,2012,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,West Point Grey,1
432,2014,4,1,Theft of Vehicle,AM,Spring,South Cambie,1
433,2017,10,1,Theft of Bicycle,AM,Autumn,Strathcona,1
434,2021,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,South Cambie,1
435,2015,2,1,Theft of Bicycle,PM,Winter,Grandview-Woodland,5
436,2014,11,1,Offence Against a Person,AM,Autumn,Fairview,5
437,2014,11,1,Theft from Vehicle,AM,Autumn,Kitsilano,19
438,2019,9,1,Other Theft,AM,Autumn,West Point Grey,1
439,2018,7,1,Theft from Vehicle,PM,Summer,Marpole,16
440,2019,11,1,Break and Enter Residential/Other,PM,Autumn,Kitsilano,9
441,2014,12,1,Other Theft,AM,Winter,Riley Park,1
442,2022,9,1,Other Theft,PM,Summer,Victoria-Fraserview,4
443,2018,6,1,Theft from Vehicle,PM,Spring,Central Business District,190
444,2013,3,1,Break and Enter Residential/Other,PM,Spring,West End,6
445,2020,12,1,Other Theft,AM,Winter,Sunset,2
446,2012,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Riley Park,1
447,2012,12,1,Theft of Vehicle,AM,Winter,Central Business District,1
448,2020,3,1,Break and Enter Residential/Other,AM,Spring,South Cambie,2
449,2022,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,West Point Grey,1
450,2022,5,1,Other Theft,PM,Spring,Mount Pleasant,50
451,2018,5,1,Mischief,PM,Spring,Kensington-Cedar Cottage,12
452,2015,4,1,Mischief,AM,Spring,Oakridge,1
453,2022,8,1,Break and Enter Commercial,AM,Summer,Strathcona,9
454,2020,7,1,Other Theft,PM,Summer,Kitsilano,18
455,2013,8,1,Mischief,AM,Summer,Dunbar-Southlands,2
456,2022,11,1,Other Theft,AM,Autumn,Marpole,7
457,2022,7,1,Offence Against a Person,AM,Summer,Hastings-Sunrise,9
458,2020,5,1,Break and Enter Commercial,PM,Spring,Dunbar-Southlands,1
459,2013,10,1,Theft of Vehicle,AM,Autumn,Marpole,1
460,2016,6,1,Theft of Bicycle,PM,Summer,Renfrew-Collingwood,1
461,2020,3,1,Break and Enter Commercial,PM,Winter,Grandview-Woodland,4
462,2022,1,1,Theft of Vehicle,AM,Winter,Mount Pleasant,1
463,2014,11,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Marpole,7
464,2020,8,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,South Cambie,1
465,2020,4,1,Mischief,PM,Spring,Renfrew-Collingwood,15
466,2016,8,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Central Business District,7
467,2017,10,1,Theft from Vehicle,PM,Autumn,Oakridge,6
468,2013,8,1,Break and Enter Residential/Other,AM,Summer,Victoria-Fraserview,1
469,2015,12,1,Theft of Vehicle,PM,Autumn,Renfrew-Collingwood,5
470,2020,6,1,Theft from Vehicle,PM,Spring,West End,28
471,2019,10,1,Other Theft,AM,Autumn,Dunbar-Southlands,2
472,2021,9,1,Theft of Vehicle,AM,Summer,Riley Park,1
473,2018,5,1,Other Theft,AM,Spring,Riley Park,4
474,2019,10,1,Break and Enter Residential/Other,PM,Autumn,Victoria-Fraserview,4
475,2019,9,1,Offence Against a Person,AM,Summer,Sunset,7
476,2020,6,1,Break and Enter Commercial,AM,Summer,West End,3
477,2014,11,1,Other Theft,PM,Autumn,Central Business District,264
478,2015,10,1,Theft of Vehicle,PM,Autumn,Fairview,9
479,2020,4,1,Theft from Vehicle,PM,Spring,Kensington-Cedar Cottage,34
480,2017,12,1,Theft of Vehicle,PM,Winter,Hastings-Sunrise,1
481,2015,5,1,Theft of Vehicle,PM,Spring,South Cambie,2
482,2012,3,1,Offence Against a Person,AM,Spring,Renfrew-Collingwood,4
483,2016,4,1,Offence Against a Person,AM,Spring,Hastings-Sunrise,6
484,2020,6,1,Theft from Vehicle,PM,Summer,Dunbar-Southlands,3
485,2020,2,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Winter,Arbutus Ridge,1
486,2019,9,1,Mischief,PM,Autumn,West End,4
487,2017,12,1,Mischief,AM,Autumn,Renfrew-Collingwood,8
488,2020,5,1,Theft from Vehicle,AM,Spring,South Cambie,4
489,2020,11,1,Mischief,PM,Autumn,Kensington-Cedar Cottage,5
490,2017,1,1,Other Theft,PM,Winter,Marpole,15
491,2016,6,1,Break and Enter Residential/Other,PM,Summer,Shaughnessy,3
492,2014,2,1,Mischief,PM,Winter,West End,14
493,2020,5,1,Offence Against a Person,AM,Spring,Victoria-Fraserview,4
494,2019,3,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Central Business District,2
495,2016,2,1,Theft of Vehicle,PM,Winter,Musqueam,2
496,2013,7,1,Theft of Bicycle,PM,Summer,Shaughnessy,1
497,2020,10,1,Theft from Vehicle,PM,Autumn,Hastings-Sunrise,24
498,2019,9,1,Theft from Vehicle,AM,Summer,Kerrisdale,3
499,2019,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Sunset,4
500,2018,6,1,Offence Against a Person,AM,Spring,Hastings-Sunrise,8
501,2018,12,1,Break and Enter Residential/Other,PM,Winter,Kensington-Cedar Cottage,1
502,2019,2,1,Other Theft,PM,Winter,Sunset,15
503,2016,6,1,Other Theft,AM,Spring,Mount Pleasant,15
504,2021,10,1,Theft of Vehicle,AM,Autumn,South Cambie,1
505,2021,5,1,Theft of Bicycle,AM,Spring,Grandview-Woodland,1
506,2014,1,1,Other Theft,PM,Winter,Killarney,7
507,2019,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Killarney,1
508,2020,1,1,Break and Enter Commercial,AM,Winter,Fairview,10
509,2014,4,1,Offence Against a Person,AM,Spring,Kerrisdale,1
510,2020,4,1,Mischief,PM,Spring,Kensington-Cedar Cottage,10
511,2012,1,1,Theft from Vehicle,PM,Winter,Hastings-Sunrise,9
512,2013,9,1,Offence Against a Person,AM,Summer,Killarney,4
513,2022,6,1,Offence Against a Person,AM,Spring,Renfrew-Collingwood,4
514,2012,8,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Central Business District,17
515,2016,5,1,Offence Against a Person,AM,Spring,Hastings-Sunrise,9
516,2015,5,1,Other Theft,PM,Spring,Renfrew-Collingwood,46
517,2012,4,1,Break and Enter Commercial,PM,Spring,Grandview-Woodland,8
518,2013,6,1,Other Theft,PM,Spring,Renfrew-Collingwood,23
519,2019,10,1,Break and Enter Residential/Other,PM,Autumn,Strathcona,10
520,2016,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Marpole,3
521,2021,11,1,Mischief,PM,Autumn,Kensington-Cedar Cottage,9
522,2013,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Kensington-Cedar Cottage,3
523,2015,7,1,Offence Against a Person,AM,Summer,Strathcona,39
524,2016,12,1,Theft of Vehicle,PM,Winter,Strathcona,2
525,2012,11,1,Other Theft,PM,Autumn,Killarney,3
526,2014,11,1,Theft of Bicycle,AM,Autumn,Fairview,2
527,2017,10,1,Other Theft,PM,Autumn,Kensington-Cedar Cottage,19
528,2012,4,1,Theft of Bicycle,PM,Spring,Renfrew-Collingwood,1
529,2015,6,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Stanley Park,2
530,2013,5,1,Other Theft,AM,Spring,Fairview,17
531,2012,11,1,Theft from Vehicle,AM,Autumn,Kerrisdale,6
532,2014,9,1,Theft from Vehicle,PM,Summer,Fairview,49
533,2018,6,1,Mischief,AM,Spring,Riley Park,3
534,2017,1,1,Break and Enter Residential/Other,AM,Winter,Kitsilano,6
535,2019,8,1,Theft from Vehicle,PM,Summer,Strathcona,56
536,2018,11,1,Other Theft,AM,Autumn,Renfrew-Collingwood,18
537,2018,6,1,Theft of Vehicle,PM,Spring,Oakridge,1
538,2015,4,1,Other Theft,PM,Spring,Oakridge,20
539,2013,12,1,Mischief,PM,Winter,Riley Park,2
540,2022,9,1,Theft from Vehicle,PM,Autumn,Shaughnessy,1
541,2015,4,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Spring,Renfrew-Collingwood,6
542,2019,9,1,Theft of Bicycle,AM,Autumn,Sunset,1
543,2017,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Fairview,2
544,2021,6,1,Other Theft,AM,Spring,Kerrisdale,2
545,2014,6,1,Theft from Vehicle,AM,Summer,Oakridge,1
546,2015,1,1,Mischief,AM,Winter,Oakridge,1
547,2014,7,1,Break and Enter Commercial,AM,Summer,Mount Pleasant,5
548,2014,6,1,Offence Against a Person,AM,Summer,West Point Grey,1
549,2022,9,1,Break and Enter Commercial,PM,Autumn,Renfrew-Collingwood,1
550,2018,6,1,Theft of Bicycle,PM,Summer,Fairview,6
551,2021,12,1,Offence Against a Person,AM,Autumn,Riley Park,4
552,2021,3,1,Mischief,PM,Winter,Sunset,2
553,2012,1,1,Theft from Vehicle,PM,Winter,Kerrisdale,15
554,2016,11,1,Other Theft,AM,Autumn,Sunset,4
555,2014,9,1,Other Theft,PM,Summer,Sunset,9
556,2015,12,1,Theft of Vehicle,PM,Autumn,Central Business District,7
557,2013,6,1,Mischief,AM,Summer,Marpole,1
558,2021,3,1,Mischief,AM,Spring,Marpole,1
559,2020,12,1,Mischief,AM,Autumn,Musqueam,1
560,2013,9,1,Break and Enter Commercial,PM,Summer,Riley Park,2
561,2018,10,1,Mischief,PM,Autumn,Marpole,9
562,2015,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Kensington-Cedar Cottage,1
563,2021,3,1,Offence Against a Person,AM,Winter,Renfrew-Collingwood,4
564,2018,2,1,Theft from Vehicle,AM,Winter,Stanley Park,2
565,2021,3,1,Mischief,AM,Winter,Renfrew-Collingwood,1
566,2020,3,1,Other Theft,PM,Winter,Arbutus Ridge,4
567,2013,5,1,Theft of Vehicle,AM,Spring,Sunset,3
568,2015,6,1,Break and Enter Residential/Other,AM,Spring,Hastings-Sunrise,2
569,2013,6,1,Mischief,AM,Summer,Fairview,2
570,2017,10,1,Mischief,AM,Autumn,Kerrisdale,1
571,2019,12,1,Other Theft,AM,Autumn,Grandview-Woodland,9
572,2015,12,1,Theft of Vehicle,AM,Autumn,Kensington-Cedar Cottage,1
573,2014,4,1,Mischief,AM,Spring,West Point Grey,3
574,2015,8,1,Mischief,PM,Summer,South Cambie,5
575,2016,3,1,Theft of Bicycle,AM,Spring,Central Business District,3
576,2015,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Stanley Park,1
577,2018,3,1,Theft from Vehicle,PM,Winter,Arbutus Ridge,7
578,2019,7,1,Break and Enter Residential/Other,PM,Summer,Oakridge,2
579,2021,5,1,Theft of Vehicle,AM,Spring,Strathcona,1
580,2020,8,1,Theft of Bicycle,AM,Summer,Fairview,15
581,2019,11,1,Break and Enter Commercial,AM,Autumn,South Cambie,1
582,2019,6,1,Other Theft,PM,Spring,Dunbar-Southlands,2
583,2012,9,1,Break and Enter Commercial,AM,Autumn,Mount Pleasant,1
584,2013,10,1,Mischief,PM,Autumn,South Cambie,1
585,2017,1,1,Mischief,AM,Winter,Arbutus Ridge,1
586,2014,2,1,Break and Enter Residential/Other,PM,Winter,Killarney,6
587,2020,5,1,Offence Against a Person,AM,Spring,West Point Grey,3
588,2019,6,1,Theft from Vehicle,PM,Spring,Renfrew-Collingwood,22
589,2019,11,1,Theft from Vehicle,PM,Autumn,Kensington-Cedar Cottage,35
590,2019,9,1,Theft of Bicycle,PM,Summer,Renfrew-Collingwood,4
591,2022,12,1,Other Theft,AM,Winter,Riley Park,1
592,2017,10,1,Theft of Vehicle,AM,Autumn,Kitsilano,1
593,2016,12,1,Theft of Vehicle,AM,Winter,Grandview-Woodland,1
594,2014,6,1,Break and Enter Residential/Other,PM,Summer,Dunbar-Southlands,5
595,2014,6,1,Theft of Bicycle,PM,Spring,Kensington-Cedar Cottage,12
596,2014,11,1,Break and Enter Commercial,PM,Autumn,West Point Grey,2
597,2018,6,1,Mischief,AM,Spring,Oakridge,2
598,2022,1,1,Theft of Bicycle,PM,Winter,West End,4
599,2021,2,1,Theft from Vehicle,AM,Winter,Kensington-Cedar Cottage,8
600,2015,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Sunset,4
601,2015,11,1,Break and Enter Commercial,PM,Autumn,Hastings-Sunrise,1
602,2015,1,1,Theft from Vehicle,AM,Winter,Grandview-Woodland,11
603,2015,9,1,Break and Enter Residential/Other,AM,Summer,Fairview,8
604,2013,12,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Marpole,1
605,2013,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,South Cambie,1
606,2017,8,1,Mischief,AM,Summer,Kensington-Cedar Cottage,6
607,2014,10,1,Theft of Bicycle,AM,Autumn,Fairview,8
608,2013,3,1,Theft from Vehicle,AM,Winter,Oakridge,3
609,2013,7,1,Mischief,PM,Summer,Strathcona,21
610,2017,4,1,Mischief,PM,Spring,Killarney,6
611,2018,2,1,Mischief,PM,Winter,West End,25
612,2017,6,1,Other Theft,PM,Summer,Riley Park,1
613,2013,12,1,Other Theft,AM,Winter,Grandview-Woodland,3
614,2022,2,1,Theft of Vehicle,AM,Winter,Renfrew-Collingwood,1
615,2021,12,1,Break and Enter Residential/Other,AM,Winter,Kensington-Cedar Cottage,1
616,2019,11,1,Theft from Vehicle,PM,Autumn,Renfrew-Collingwood,33
617,2013,12,1,Other Theft,AM,Winter,Strathcona,4
618,2022,12,1,Theft of Vehicle,PM,Autumn,Hastings-Sunrise,2
619,2016,9,1,Mischief,PM,Summer,Kensington-Cedar Cottage,10
620,2018,6,1,Mischief,PM,Summer,Renfrew-Collingwood,9
621,2022,3,1,Theft from Vehicle,PM,Winter,Sunset,12
622,2015,3,1,Theft from Vehicle,PM,Winter,Strathcona,17
623,2021,8,1,Offence Against a Person,AM,Summer,Central Business District,131
624,2017,2,1,Break and Enter Residential/Other,PM,Winter,Riley Park,6
625,2016,12,1,Theft of Vehicle,PM,Autumn,Grandview-Woodland,2
626,2020,9,1,Other Theft,AM,Summer,Strathcona,21
627,2018,7,1,Other Theft,PM,Summer,Grandview-Woodland,29
628,2014,4,1,Break and Enter Commercial,AM,Spring,Grandview-Woodland,3
629,2013,6,1,Break and Enter Commercial,PM,Summer,Central Business District,7
630,2020,3,1,Theft from Vehicle,AM,Winter,Shaughnessy,5
631,2017,6,1,Break and Enter Residential/Other,PM,Spring,Killarney,2
632,2018,1,1,Break and Enter Residential/Other,AM,Winter,Oakridge,4
633,2016,10,1,Other Theft,AM,Autumn,Central Business District,132
634,2014,7,1,Break and Enter Residential/Other,AM,Summer,Fairview,5
635,2014,7,1,Theft of Vehicle,PM,Summer,Victoria-Fraserview,4
636,2015,11,1,Theft of Vehicle,PM,Autumn,Victoria-Fraserview,4
637,2022,3,1,Other Theft,PM,Winter,Central Business District,147
638,2013,1,1,Break and Enter Commercial,PM,Winter,Hastings-Sunrise,1
639,2013,6,1,Break and Enter Commercial,AM,Spring,Marpole,3
640,2017,7,1,Break and Enter Residential/Other,AM,Summer,Shaughnessy,9
641,2020,11,1,Offence Against a Person,AM,Autumn,Fairview,7
642,2016,5,1,Break and Enter Commercial,AM,Spring,Marpole,4
643,2012,2,1,Mischief,PM,Winter,Mount Pleasant,11
644,2014,9,1,Break and Enter Residential/Other,AM,Autumn,Hastings-Sunrise,1
645,2021,12,1,Theft from Vehicle,PM,Autumn,Oakridge,2
646,2016,3,1,Other Theft,PM,Winter,Sunset,5
647,2014,6,1,Other Theft,PM,Spring,Kerrisdale,6
648,2013,6,1,Theft of Vehicle,AM,Spring,Grandview-Woodland,2
649,2020,9,1,Theft from Vehicle,PM,Autumn,Grandview-Woodland,8
650,2012,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Grandview-Woodland,2
651,2020,9,1,Theft from Vehicle,AM,Autumn,Hastings-Sunrise,4
652,2017,6,1,Offence Against a Person,AM,Spring,West Point Grey,1
653,2019,7,1,Other Theft,PM,Summer,Oakridge,14
654,2019,3,1,Theft from Vehicle,PM,Spring,Fairview,17
655,2012,10,1,Break and Enter Commercial,PM,Autumn,Marpole,2
656,2021,8,1,Mischief,AM,Summer,Dunbar-Southlands,1
657,2020,2,1,Theft from Vehicle,PM,Winter,Mount Pleasant,34
658,2020,6,1,Break and Enter Residential/Other,PM,Summer,Kitsilano,4
659,2018,3,1,Theft of Vehicle,AM,Spring,Renfrew-Collingwood,1
660,2013,8,1,Other Theft,AM,Summer,Sunset,2
661,2019,1,1,Theft from Vehicle,AM,Winter,West End,58
662,2018,10,1,Break and Enter Residential/Other,PM,Autumn,Arbutus Ridge,10
663,2012,2,1,Break and Enter Commercial,AM,Winter,Kensington-Cedar Cottage,2
664,2016,4,1,Break and Enter Commercial,AM,Spring,West End,11
665,2019,4,1,Theft of Vehicle,PM,Spring,Mount Pleasant,8
666,2022,9,1,Break and Enter Residential/Other,PM,Autumn,West Point Grey,3
667,2017,5,1,Mischief,AM,Spring,Shaughnessy,1
668,2013,11,1,Break and Enter Residential/Other,AM,Autumn,Killarney,2
669,2014,8,1,Theft from Vehicle,PM,Summer,Oakridge,7
670,2019,10,1,Other Theft,AM,Autumn,West End,22
671,2022,1,1,Theft from Vehicle,PM,Winter,Dunbar-Southlands,5
672,2021,8,1,Break and Enter Residential/Other,AM,Summer,Kensington-Cedar Cottage,6
673,2019,9,1,Theft of Bicycle,AM,Autumn,Renfrew-Collingwood,1
674,2015,5,1,Theft of Bicycle,PM,Spring,Mount Pleasant,26
675,2014,7,1,Theft of Vehicle,AM,Summer,Fairview,1
676,2022,10,1,Mischief,AM,Autumn,Hastings-Sunrise,8
677,2018,12,1,Break and Enter Commercial,PM,Winter,Kitsilano,1
678,2017,4,1,Mischief,PM,Spring,Shaughnessy,2
679,2018,8,1,Theft of Bicycle,PM,Summer,Kitsilano,24
680,2020,9,1,Other Theft,PM,Summer,Dunbar-Southlands,3
681,2014,2,1,Mischief,AM,Winter,Sunset,2
682,2021,8,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Fairview,3
683,2012,11,1,Theft of Vehicle,PM,Autumn,Fairview,2
684,2018,8,1,Offence Against a Person,AM,Summer,Fairview,5
685,2019,11,1,Mischief,AM,Autumn,Strathcona,15
686,2020,10,1,Theft from Vehicle,PM,Autumn,Kerrisdale,10
687,2015,10,1,Other Theft,PM,Autumn,Riley Park,8
688,2015,6,1,Break and Enter Commercial,AM,Summer,Mount Pleasant,5
689,2019,1,1,Other Theft,PM,Winter,Sunset,30
690,2012,4,1,Theft of Vehicle,AM,Spring,Killarney,2
691,2016,6,1,Mischief,PM,Spring,Sunset,6
692,2014,2,1,Break and Enter Residential/Other,AM,Winter,Kitsilano,4
693,2012,11,1,Other Theft,PM,Autumn,Hastings-Sunrise,15
694,2016,3,1,Offence Against a Person,AM,Winter,Shaughnessy,3
695,2012,12,1,Break and Enter Commercial,PM,Winter,Kitsilano,1
696,2016,8,1,Offence Against a Person,AM,Summer,Killarney,2
697,2020,12,1,Other Theft,AM,Autumn,Hastings-Sunrise,3
698,2014,9,1,Theft of Vehicle,PM,Summer,Central Business District,5
699,2016,9,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Summer,Victoria-Fraserview,1
700,2018,12,1,Theft from Vehicle,PM,Autumn,Hastings-Sunrise,36
701,2020,11,1,Break and Enter Residential/Other,AM,Autumn,Arbutus Ridge,2
702,2020,7,1,Mischief,PM,Summer,Dunbar-Southlands,2
703,2016,6,1,Other Theft,PM,Summer,Sunset,9
704,2015,10,1,Other Theft,AM,Autumn,Shaughnessy,1
705,2015,6,1,Theft from Vehicle,AM,Summer,Dunbar-Southlands,2
706,2014,12,1,Other Theft,AM,Winter,Mount Pleasant,6
707,2013,11,1,Mischief,PM,Autumn,Dunbar-Southlands,3
708,2014,1,1,Mischief,PM,Winter,Shaughnessy,1
709,2014,8,1,Theft of Vehicle,PM,Summer,Fairview,1
710,2020,6,1,Break and Enter Commercial,AM,Summer,Arbutus Ridge,1
711,2016,5,1,Break and Enter Commercial,AM,Spring,Kensington-Cedar Cottage,2
712,2018,1,1,Mischief,AM,Winter,Kensington-Cedar Cottage,9
713,2018,2,1,Theft from Vehicle,PM,Winter,Hastings-Sunrise,27
714,2013,11,1,Break and Enter Residential/Other,AM,Autumn,Central Business District,6
715,2012,12,1,Theft from Vehicle,AM,Winter,Shaughnessy,2
716,2012,9,1,Theft from Vehicle,AM,Summer,Stanley Park,3
717,2020,5,1,Break and Enter Residential/Other,AM,Spring,Central Business District,3
718,2017,10,1,Theft of Vehicle,PM,Autumn,Marpole,2
719,2020,12,1,Other Theft,PM,Winter,Sunset,1
